机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2645	漳州市见义勇为基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1802810.9	1566925.9	149420	86465							
2646	潍坊市人口关爱基金会	2013	1369730	1369730	1369730	0	0	0	0	0	0	0	0	0	0	0	0	0		1727355.5	1723800	0	3450							
2647	潍坊市见义勇为基金会	2013	1893330.5	1893330.5	88330.5	1805000	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
2648	潍坊市铭仁文化发展基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		202882	184800	11600	6482							
2649	潘天寿基金会（浙江）	2013	530000	530000	0	530000	0	0	0	0	0	0	0	0	0	0	0	0		521706.85	516604.5	0	5102.35							
2652	潮安县文里爱心基金会	2013	101000	101000	101000	0	0	0	0	0	0	0	0	0	0	0	0	0		407645.5	383000	0	24645.5							
2657	澧县教师奖励基金会	2013	2246124.4	2246124.4	2246124.4	0	0	0	0	0	0	0	0	0	0	0	0	0		1510807.49	1436130	43300	17477.49							
2658	濮阳市教育发展基金会	2013	23220000	23220000	4000000	19220000	0	0	0	0	0	0	0	0	0	0	0	0		6099192.38	5968745	88630.28	41817.1							
2659	瀛公益基金会	2013	1103334.83	1103334.83	0	1103334.83	0	0	0	0	0	0	0	0	0	0	0	0		16643759.53	15519673.02	1124086.51	0							
2660	灌云县见义勇为基金会	2013	549500	549500	549500	0	0	0	0	0	0	0	0	0	0	0	0	0		100150	100000	0	150							
