,ao_ad,ao_adex,ao_adn,ao_ate,ao_cc,ao_dd,ao_ddc,ao_ddi,ao_ddin,ao_ddn,ao_ddnn,ao_lst,ao_nni,ao_nnin,ao_od,ao_odi,ao_odin,ao_odn,ao_odnn,ao_odnnn,ao_oth,ao_slr,ba_cn,fp_yr,name,ricf_oid
13,"200,000.00","8,860.72",0.00,"928,861.72","895,360.00","200,000.00",0.00,"200,000.00",0.00,0.00,0.00,"507,652.47",null,null,0.00,0.00,0.00,0.00,0.00,0.00,641.00,"24,000.00",牡丹江市公安民警救助基金会,2016,牡丹江市公安民警救助基金会,2670.0
14,"56,003,842.89","328,841.80",0.00,"19,289,719.91","18,711,871.87","55,322,901.43","8,622,940.37","46,699,961.06",0.00,0.00,0.00,"169,422,432.38",null,null,"680,941.46","680,941.46",0.00,0.00,0.00,0.00,null,"249,006.24",北京交通大学教育基金会,2016,北京交通大学教育基金会,505.0
15,"80,000.00","49,047.93",0.00,"245,047.93","196,000.00","80,000.00",0.00,0.00,0.00,0.00,0.00,"1,888,428.03",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,甘肃陇盛科技发展基金会,2016,甘肃陇盛科技发展基金会,4111.0
16,"3,100,000.00","6,697.67",0.00,"1,087,197.67","1,080,500.00","3,100,000.00",0.00,"3,100,000.00",0.00,0.00,0.00,"42,400.85",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,营口市公安民警救助基金会,2016,营口市公安民警救助基金会,2922.0
17,"2,000,000.00","9,081.20",0.00,"1,669,381.20","1,660,300.00","2,000,000.00","2,000,000.00",0.00,0.00,0.00,0.00,"4,257,837.79",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,重庆市卢作孚教育基金会,2016,重庆市卢作孚教育基金会,3089.0
18,"200,000.00","3,356.00","9,600.00","235,345.48","228,960.00","200,000.00","200,000.00",0.00,0.00,"9,600.00","9,600.00","2,031,586.18",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,029.48",0.00,河北省摩诃佛缘慈善基金会,2016,河北省摩诃佛缘慈善基金会,2839.0
19,"7,854,411.62","138,966.22",0.00,"6,874,960.67","6,434,568.22","7,854,411.62","7,854,411.62",0.00,0.00,0.00,0.00,"10,586,512.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"52,260.19","249,166.04",河北省佛教慈善基金会,2016,河北省佛教慈善基金会,2047.0
20,"947,760.00",0.00,0.00,0.00,0.00,"947,760.00","7,200.00","940,560.00",0.00,0.00,0.00,0.00,null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,黑龙江省齐齐哈尔医学院教育发展基金会,2016,黑龙江省齐齐哈尔医学院教育发展基金会,3335.0
21,"112,378,430.50","292,402.34",0.00,"140,864,308.04","140,435,517.71","112,378,430.50",0.00,0.00,0.00,0.00,0.00,"154,492,957.76",0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,"3,180.15","133,207.84",重庆市扶贫基金会,2016,重庆市扶贫基金会,3399.0
22,"376,300.00","6,480.00",0.00,"438,360.50","390,222.00","376,300.00","50,000.00","326,300.00",0.00,0.00,0.00,"3,308,676.95",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"2,158.50","39,500.00",河南省闽商慈善基金会,2016,河南省闽商慈善基金会,3927.0
23,"1,305,241.00",0.00,0.00,"2,731,994.00","2,569,911.00","1,305,241.00",900.00,"1,304,341.00",0.00,0.00,0.00,"6,925,458.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"162,083.00",重庆市巫溪县教育基金会,2016,重庆市巫溪县教育基金会,3498.0
